# T1 People Gaps - Manual Entry List
# Total: 269 organizations need People info
# Format: Organization Name | Website | Suggested Leader | Title
#--------------------------------------------------------------------------------

## Argentina

Baptist Union of Uganda | https://www.bou.org | ??? | ???
## United Kingdom

Albanian Orthodox Church | https://orthodoxalbania.org | ??? | ???
Asso. Presbyterian Churches | https://www.ap.org | ??? | ???
Association of Baptist Churches in Ireland | http://www.ireland.anglican.org/ | ??? | ???
Baptist Union of Great Britain | https://www.bogb.org | ??? | ???
Baptist Union of Wales | http://www.buw.org.uk/ | ??? | ???
British Methodist Church | https://www.bm.org | ??? | ???
British New Church | https://www.bn.org | ??? | ???
British Orthodox Church | https://britishorthodox.org | ??? | ???
Catholic Apostolic Church | https://www.ca.org | ??? | ???
Catholic Church in Scotland | NO_URL | ??? | ???
Church of God | NO_URL | ??? | ???
General Assembly of Unitarian and Free Christian Churches | NO_URL | ??? | ???
Gospel Standard | https://www.gospelstandard.org.uk/ | ??? | ???
Gospel Standard Trust Publications | https://www.gospelstandard.org.uk/ | ??? | ???
LDS Church in England | https://www.mormonnewsroom.org.uk/ | ??? | ???
Moderator of the General Assembly of the Church of Scotland | http://www.churchofscotland.org.uk/ | ??? | ???
Russian Orthodox Diocese of Sourozh | NO_URL | ??? | ???
Scottish Episcopal Church | NO_URL | ??? | ???
Unitarian Christian Association | NO_URL | ??? | ???
## United States

Albanian Orthodox Archdiocese of the Orthodox Church in America | https://albanianarchdiocese.org/ | ??? | ???
Biola University | https://www.biola.edu/ | ??? | ???
Central Yearly Meeting of Friends | https://www.holinessmovement.org/central-yearly-meeting-of-friends/ | ??? | ???
North American Lutheran Church | https://thenalc.org/en-us/ | ??? | ???
North American Old Roman Catholic Church (Archdiocese of New York) | https://www.naorcc.org/ | ??? | ???
Old Catholic Church in America | /us-religion/history/timelines/interactive-display?tid=7 | ??? | ???
Old Regular Baptists | https://oldregularbaptist.weebly.com/ | ??? | ???
Orthodox Church in America, The | https://www.oca.org | ??? | ???
Orthodox Church in America, The (1970 - Present) | https://www.oca.org | ??? | ???
Orthodox Presbyterian Church | https://www.opc.org/ | ??? | ???
Patriarchal Parishes of the Russian Orthodox Church in the U.S.A. | https://mospatusa.com/ | ??? | ???
Pentecostal Assemblies of Jesus Christ Inc. | https://www.pajci.org/about-us | ??? | ???
Pentecostal Assemblies of the World | https://www.pawinc.org/ | ??? | ???
Pentecostal Church of God | https://www.pcg.org/ | ??? | ???
Pentecostal Free Will Baptist Church, Inc. | https://www.pfwb.org/about | ??? | ???
Pentecostal Free Will Baptist Church, Inc. | https://www.pfwb.org/ | ??? | ???
Pillar of Fire | https://pillarministries.org/ | ??? | ???
Polish National Catholic Church of America | http://www.pncc.org/ | ??? | ???
Polish National Catholic Church of America | http://www.pncc.org/ | ??? | ???
Presbyterian Church (U.S.A.) | https://www.pcusa.org | ??? | ???
Presbyterian Church in America | https://www.pcanet.org/about | ??? | ???
Presbyterian Church in the United States (1861 - 1983) | /us-religion/history/timelines/interactive-display?tid=9 | ??? | ???
Primitive Baptists, Eastern District Association of | https://www.edapb.org/ | ??? | ???
Primitive Methodist Church in the U.S.A. | http://www.primitivemethodistchurch.org/ | ??? | ???
Progressive National Baptist Convention, Inc. | https://www.pnbc.org/ | ??? | ???
Progressive National Baptist Convention, Inc. | https://www.pnbc.org/ | ??? | ???
Protes'tant Conference, The | https://www.protestantconference.org/ | ??? | ???
Protestant Reformed Churches in America | http://www.prca.org/ | ??? | ???
Protestant Reformed Churches in America | http://www.prca.org/ | ??? | ???
Reformed Church in America | https://www.rca.org/ | ??? | ???
Reformed Church in the United States | http://www.rcus.org/ | ??? | ???
Reformed Church in the United States (1934 - Present) | http://www.rcus.org/ | ??? | ???
Reformed Episcopal Church | http://www.rechurch.org/ | ??? | ???
Reformed Mennonite Church | http://www.reformedmennonite.org | ??? | ???
Reformed Presbyterian Church General Assembly | https://www.rpcga.org/about | ??? | ???
Reformed Presbyterian Church General Assembly (1991 - Present) | https://www.rpcga.org/ | ??? | ???
Reformed Presbyterian Church Hanover Presbytery | https://rpchanover.org/ | ??? | ???
Reformed Presbyterian Church Hanover Presbytery (1990 - Present) | https://rpchanover.org/ | ??? | ???
Reformed Presbyterian Church in the United States | https://www.rpcus.com/ | ??? | ???
Reformed Presbyterian Church in the United States (1985 - Present) | https://www.rpcus.com/ | ??? | ???
Reformed Presbyterian Church of North America (Covenanters) | https://reformedpresbyterian.org/ | ??? | ???
Reformed Zion Union Apostolic Church | http://rzua.org/ | ??? | ???
Romanian Orthodox Episcopate of America | https://www.roea.org/about | ??? | ???
Romanian Orthodox Metropolia of the Americas | https://www.mitropolia.us/index.php/en/ | ??? | ???
Salvation Army | https://www.salvationarmyusa.org/usn/ | ??? | ???
Schwenkfelder Church in America | https://www.centralschwenkfelder.com/about-us | ??? | ???
Separate Baptists in Christ | http://www.separatebaptist.org/ | ??? | ???
Separate Baptists in Christ | http://www.separatebaptist.org/ | ??? | ???
Serbian Metropolitanate of New Gracanica | https://www.serborth.org | ??? | ???
Serbian Metropolitanate of New Gracanica (1963 - 1998) | https://www.serborth.org | ??? | ???
Serbian Orthodox Church in North and South America | https://www.serborth.org/ | ??? | ???
Seventh Day Baptists (German) | https://germanseventhdaybaptist.com/ | ??? | ???
Southern Baptist Convention | http://www.sbc.net/ | ??? | ???
Southern Methodist Church | http://www.thesmc.org/ | ??? | ???
USCCB | http://www.usccb.org/ | ??? | ???
## Vietnam

Baptist Convention of Vietnam | https://www.bcov.org | ??? | ???
## 全球

Presbyterian Reformed Church | https://presbyterianreformed.org/about-us | ??? | ???
Reformed Catholic Church | http://www.reformedcatholic.org/ | ??? | ???
Strict Baptists | https://www.gospelstandard.org.uk/ | ??? | ???
Swedenborgian Church | https://swedenborg.org/ | ??? | ???
Syriac-Greek Antiochian Orthodox Catholic Church | https://rbsocc.org/ | ??? | ???
